,ticker,xly,xlp,xle,xlf,xlv,xli,xlb,xlre,xlk,xlu
374,GNTX,False,True,False,False,False,False,False,False,False,False
375,GOOG,False,False,False,False,False,False,False,False,True,False
376,GOOGL,False,False,False,False,False,False,False,False,True,False
377,GPC,True,False,False,False,False,False,False,False,False,False
378,GPK,True,False,False,False,False,False,False,False,False,False
379,GPN,False,False,False,False,False,False,False,False,True,False
380,GPOR,False,False,True,False,False,False,False,False,False,False
381,GPS,True,False,False,False,False,False,False,False,False,False
382,GRA,False,False,False,False,False,True,False,False,False,False
383,GRMN,True,False,False,False,False,False,False,False,False,False
384,GS,False,False,False,True,False,False,False,False,False,False
385,GT,True,False,False,False,False,False,False,False,False,False
386,GWR,False,False,False,False,False,True,False,False,False,False
387,GWRE,False,False,False,False,False,False,False,False,True,False
388,GWW,False,False,False,False,False,True,False,False,False,False
389,GXP,False,False,False,False,False,False,False,False,False,True
390,H,True,False,False,False,False,False,False,False,False,False
391,HAIN,False,True,False,False,False,False,False,False,False,False
392,HAL,False,False,True,False,False,False,False,False,False,False
393,HAS,True,False,False,False,False,False,False,False,False,False
394,HBAN,False,False,False,True,False,False,False,False,False,False
395,HBI,True,False,False,False,False,False,False,False,False,False
396,HCA,False,False,False,False,True,False,False,False,False,False
397,HCN,False,False,False,False,False,False,False,True,False,False
398,HCP,False,False,False,False,False,False,False,True,False,False
399,HD,True,False,False,False,False,False,False,False,False,False
400,HDS,True,False,False,False,False,False,False,False,False,False
401,HE,False,False,False,False,False,False,False,False,False,True
402,HEI,False,True,False,False,False,False,False,False,False,False
403,HEI.A,False,False,False,False,False,False,True,False,False,False
404,HES,False,False,True,False,False,False,False,False,False,False
405,HFC,False,False,True,False,False,False,False,False,False,False
406,HGV,True,False,False,False,False,False,False,False,False,False
407,HHC,True,False,False,False,False,False,False,False,False,False
408,HIG,False,False,False,True,False,False,False,False,False,False
409,HII,False,True,False,False,False,False,False,False,False,False
410,HIW,True,False,False,False,False,False,False,False,False,False
411,HLF,False,False,False,False,True,False,False,False,False,False
412,HLT,True,False,False,False,False,False,False,False,False,False
413,HOG,True,False,False,False,False,False,False,False,False,False
414,HOLX,False,False,False,False,True,False,False,False,False,False
415,HON,False,False,False,False,False,True,False,False,False,False
416,HP,False,False,True,False,False,False,False,False,False,False
417,HPE,False,False,False,False,False,False,False,False,True,False
418,HPP,False,False,False,True,False,False,False,False,False,False
419,HPQ,False,False,False,False,False,False,False,False,True,False
420,HPT,True,False,False,False,False,False,False,False,False,False
421,HRB,True,False,False,False,False,False,False,False,False,False
422,HRC,False,False,False,False,True,False,False,False,False,False
423,HRL,False,True,False,False,False,False,False,False,False,False
424,HRS,False,False,False,False,False,False,False,False,True,False
425,HSIC,False,False,False,False,True,False,False,False,False,False
426,HST,False,False,False,False,False,False,False,True,False,False
